Name/Alias,Appearances,Current?,Gender,Year,Death1,Return1,Death2,Return2,Death3,Return3,Death4,Return4,Death5,Return5,Notes
Ravonna Lexus Renslayer,41,NO,FEMALE,1988,YES,YES,YES,NO,,,,,,,Killed in Avengers_Vol_1_24. Revived by the Grandmaster. Died in Avengers:_Forever_Vol_1_3.
Rita DeMara,68,NO,FEMALE,1988,YES,YES,,,,,,,,,Killed by Iron Man when he was controlled by Immortus. Revived during Chaos war. 
Dennis Dunphy,70,NO,MALE,1988,YES,YES,YES,NO,,,,,,,"Died in Captain_America_348. Actually ""Dunphy miraculously survived the crash and lived with an Inuit tribe."" Second death when killed by Sharon Carter.  "
,61,NO,MALE,1989,YES,YES,,,,,,,,,Killed by Neut who was working for Immortus. Reborn into a new body. 
Reed Richards,2125,YES,MALE,1989,NO,,,,,,,,,,NA
Susan Richards (nee Storm),1761,NO,MALE,1989,NO,,,,,,,,,,NA
Wendell Elvis Vaughn,293,NO,MALE,1989,YES,YES,,,,,,,,,Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy. 
Ashley Crawford,36,YES,FEMALE,1989,NO,,,,,,,,,,NA
,22,NO,FEMALE,1989,YES,NO,,,,,,,,,Died in Great_Lakes_Avengers_Vol_1_1. Has not returned
DeMarr Davis,31,YES,MALE,1989,YES,YES,,,,,,,,,Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death. 
Val Ventura,34,YES,MALE,1989,NO,,,,,,,,,,NA
Craig Hollis,33,YES,MALE,1989,NO,,,,,,,,,,Christ; where to begin. His superpower is that he cannot die when he dies he immediately comes back. The Wikia inventories 24 deaths. These will be excluded from the analysis. 
Gene Lorrene,4,NO,MALE,2005,NO,,,,,,,,,,NA
Dorreen Green,47,NO,FEMALE,2005,NO,,,,,,,,,,NA
,7,NO,MALE,2005,YES,NO,,,,,,,,,Killed by Leather Boy
Doug Taggert,3,NO,MALE,2005,YES,NO,,,,,,,,,Accidently killed by Zaran
,16,NO,FEMALE,2005,NO,,,,,,,,,,NA
Wade Wilson,575,NO,MALE,2007,YES,NO,,,,,,,,,Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best. 
Greg Willis,58,NO,MALE,2009,NO,,,,,,,,,,Died on Battleworld and came back prior to joining avengers
Circe,237,NO,FEMALE,1990,NO,,,,,,,,,,NA
Peter Benjamin Parker,4333,YES,MALE,1990,YES,YES,YES,YES,,,,,,,Since joining the New Avengers: First death Killed by Morlun. Ressurected in a brand new body. Died in Amazing Spider-Man #700. Eventually mainfested in his body that Octavious stole and then took over again. 
Walter Newell,126,NO,MALE,1990,NO,,,,,,,,,,NA
Elvin Haliday,158,NO,MALE,1900,NO,,,,,,,,,,NA
William Baker,355,NO,MALE,1900,YES,YES,NO,,,,,,,,Died in Identity_Disc_Vol_1_1. Later was revealed to be alive and working along with the Vulture.
Crystal Amaquelin Maximoff,517,NO,FEMALE,1992,NO,,,,,,,,,,NA
Eric Kevin Masterson,202,NO,MALE,1992,YES,YES,YES,NO,,,,,,,Became posessed died to purge self of corruption. Revived as undead Avenger minion of the Grim Reaper. Returned to the spirit world by the Scarlet Witch. Has since stayed dead. 
Phillip Javert,31,NO,MALE,1992,NO,,,,,,,,,,NA
,28,NO,FEMALE,1993,NO,,,,,,,,,,NA
,50,NO,FEMALE,1993,YES,YES,YES,NO,,,,,,, Reduced her to a pile of bones and organsby Vargas. Brought back by Chaos King. Died second time in Chaos_War:_Dead_Avengers_Vol_1_3
Anthony Edward Stark,27,NO,MALE,1996,YES,NO,,,,,,,,,Merged with 616 Tony Stark
"""Giulietta Nefaria""",18,NO,FEMALE,1996,YES,NO,,,,,,,,,Whitney killed was a clone possibly this incarnation of Masque'
Vance Astrovik,302,NO,MALE,1998,NO,,,,,,,,,,NA
Angelica Jones,330,NO,FEMALE,1998,NO,,,,,,,,,,NA
Delroy Garrett Jr.,101,NO,MALE,2000,NO,,,,,,,,,,NA
Maria de Guadalupe Santiago,43,NO,FEMALE,2000,NO,,,,,,,,,,NA
Jonathan Hart,126,NO,MALE,2001,YES,YES,YES,YES,,,,,,,First died in a zero energy explosion in space. Body was apparently reanimated by Scarlet Witch. Abruptly exploded killing Scott Lang as well. Second return in Marvel_Zombies_Supreme_Vol_1_2. 
Kelsey Leigh Shorr,24,NO,FEMALE,2004,NO,,,,,,,,,,NA
Carl Lucas,886,YES,MALE,2005,NO,,,,,,,,,,NA
Veranke,159,NO,FEMALE,2005,YES,NO,,,,,,,,,Killed by Norman Osbourne. Has not returned. 
"James ""Logan"" Howlett",3130,YES,MALE,2005,YES,NO,,,,,,,,,Died in Death_of_Wolverine_Vol_1_4. Has not yet returned
Robert Reynolds,241,NO,MALE,2005,YES,YES,,,,,,,,,Died during Seige. Brought back to life by the Apocalypse twins as a horseman of death in Uncanny_Avengers_Vol_1_9.
Maya Lopez,67,NO,FEMALE,2005,YES,YES,YES,NO,,,,,,,"First death 'had been murdered in a fight with Elektra.' ""Revived by Elektra and the Hand with their dark magic."" Died in most recent run of Moon Knight has not yet returned."
Nathaniel Richards,23,NO,MALE,2005,NO,,,,,,,,,,NA is actually Kang but let's just not go there.
Elijah Bradley,103,NO,MALE,2005,NO,,,,,,,,,,NA
"William ""Billy"" Kaplan",123,YES,MALE,2005,NO,,,,,,,,,,NA
"Dorrek VIII/Theodore ""Teddy"" Altman",110,YES,MALE,2005,NO,,,,,,,,,,NA
Cassie Lang,160,NO,FEMALE,2005,YES,YES,,,,,,,,,Dies in Young Avengers: The Childrens Crusade when she is killed by Doom. Eventually reborn years later. 
"Katherine ""Kate"" Bishop",132,YES,FEMALE,2005,NO,,,,,,,,,,NA
Alias: Jonas,121,NO,MALE,2006,YES,NO,,,,,,,,,Dies in Young Avengers The Children's Crusade
"Thomas ""Tommy"" Shepherd",59,YES,MALE,2006,NO,,,,,,,,,,NA
Daniel Thomas Rand K'ai,629,NO,MALE,2007,NO,,,,,,,,,,NA
Doctor Stephen Vincent Strange,1324,NO,MALE,2007,NO,,,,,,,,,,NA
Ares,236,NO,MALE,2007,YES,YES,YES,NO,,,,,,,Ripped in half by the Sentry during Seige. Revived during Chaos King. Then killedby Chaos King. 
James Buchanan Barnes,663,NO,MALE,2008,NO,,,,,,,,,,NA
Jessica Miriam Drew,525,YES,FEMALE,2008,NO,,,,,,,,,,NA
Jessica Jones,205,YES,FEMALE,2010,NO,,,,,,,,,,NA
Amadeus Cho,108,NO,MALE,2009,NO,,,,,,,,,,NA
Maria Hill,359,YES,FEMALE,2010,NO,,,,,,,,,,NA
Robbie Baldwin,299,NO,MALE,2010,NO,,,,,,,,,,NA
Sharon Carter,333,NO,FEMALE,2010,YES,YES,,,,,,,,,Died in Captain_America_Vol_7_10. It's not clear how she survived but yeah she totally did. 
Eric O'Grady,88,NO,MALE,2010,YES,NO,,,,,,,,,Died in Secret_Avengers_Vol_1_22. 
Brunnhilde,369,NO,FEMALE,2010,NO,,,,,,,,,,NA but died/came back during Ragnarok prior to becoming an Avenger
Richard Rider,380,NO,MALE,2010,YES,NO,,,,,,,,,Died in Guardians_of_the_Galaxy_Vol_3_20.
Brian Braddock,545,NO,MALE,2010,NO,,,,,,,,,,NA
Dennis Sykes,6,NO,MALE,2010,YES,NO,,,,,,,,,Died in Heroic_Age:_One_Month_to_Live_Vol_1_5 stayed dead. 
Noh-Varr,126,YES,MALE,2010,NO,,,,,,,,,,NA
Thaddeus Ross,417,NO,MALE,2011,YES,YES,,,,,,,,,Died in Circle of Four arc. Made a deal with Mephisto and came back. 
John Aman,31,YES,MALE,2010,NO,,,,,,,,,,NA
Shang-Chi,310,YES,MALE,2011,NO,,,,,,,,,,NA
James Santini,40,YES,MALE,1900,NO,,,,,,,,,,NA
Emery Schaub,26,YES,MALE,1900,NO,,,,,,,,,,NA
Jeanne Foucault,63,YES,FEMALE,2010,NO,,,,,,,,,,NA
Fiona,2,YES,FEMALE,1900,NO,,,,,,,,,,NA
Jennifer Takeda,73,YES,FEMALE,2010,NO,,,,,,,,,,NA
Yvette,22,YES,FEMALE,1900,NO,,,,,,,,,,NA
Julie Power,153,YES,FEMALE,1900,NO,,,,,,,,,,NA
Alani Ryan,73,YES,FEMALE,1900,NO,,,,,,,,,,NA
Ken Mack,59,NO,MALE,2010,YES,NO,,,,,,,,,Died in Murderworld during Avengers Arena
Humberto Lopez,66,YES,MALE,2010,YES,NO,,,,,,,,,Died in Murderworld during Avengers Arena
Johnny Gallo,43,YES,MALE,1900,NO,,,,,,,,,,NA
Lyra,55,YES,FEMALE,1900,NO,,,,,,,,,,NA
Anya Corazon,108,YES,FEMALE,1900,NO,,,,,,,,,,NA
Brandon Sharpe,64,YES,MALE,2010,NO,,,,,,,,,,NA
Kevin Masterson,62,YES,MALE,1900,NO,,,,,,,,,,NA
Michiko Musashi,94,YES,FEMALE,1900,NO,,,,,,,,,,NA
Taki Matsuya,18,YES,MALE,1900,NO,,,,,,,,,,NA
Daisy Johnson,81,NO,FEMALE,2012,NO,,,,,,,,,,NA
Ororo Munroe,1598,NO,FEMALE,2012,NO,,,,,,,,,,NA
Matt Murdock,1375,NO,MALE,2011,NO,,,,,,,,,,NA
Flash Thompson,746,YES,MALE,2012,NO,,,,,,,,,,NA
Otto Octavius,561,NO,MALE,2013,YES,NO,,,,,,,,,Died in Superior_Spider-Man_Vol_1_30. 
Alex Summers,592,YES,MALE,2012,NO,,,,,,,,,,NA
Samuel Guthrie,679,YES,MALE,2013,NO,,,,,,,,,,NA
Roberto da Costa,491,YES,MALE,2013,NO,,,,,,,,,,NA
Eden Fesi,65,YES,MALE,2013,NO,,,,,,,,,,NA
,55,YES,MALE,2013,NO,,,,,,,,,,NA
Izzy Kane,44,YES,FEMALE,2013,NO,,,,,,,,,,NA
Marcus Milton,65,YES,MALE,2013,YES,NO,,,,,,,,,Died in New_Avengers_Vol_3_32. 
Anna Marie,877,YES,FEMALE,2013,NO,,,,,,,,,,NA
Shiro Yoshida,176,YES,MALE,2013,YES,YES,,,,,,,,,Died in Uncanny_Avengers_Vol_1_22. Returned when 'he was able to use his power to transform his body into a state of pure energy '
,24,YES,MALE,2013,YES,NO,,,,,,,,,Died in New_Avengers_Vol_3_32
,25,YES,FEMALE,2013,YES,NO,,,,,,,,,Died in New_Avengers_Vol_3_32
Adam,35,YES,MALE,2013,YES,NO,,,,,,,,,Died in New_Avengers_Vol_3_32
Kevin Kale Connor,44,YES,MALE,2013,YES,NO,,,,,,,,,Died in New_Avengers_Vol_3_32
Sam Alexander,78,YES,MALE,2015,NO,,,,,,,,,,NA
America Chavez,22,YES,FEMALE,2013,NO,,,,,,,,,,NA
Loki Laufeyson,77,NO,MALE,2013,NO,,,,,,,,,,NA
David Alleyne,115,YES,MALE,2013,NO,,,,,,,,,,NA
"Nicholas Fury, Jr., Marcus Johnson",77,YES,MALE,2013,NO,,,,,,,,,,NA
Phillip Coulson,69,YES,MALE,2013,NO,,,,,,,,,,NA
Tony Masters,173,NO,MALE,2013,NO,,,,,,,,,,NA
Victor Mancha,75,YES,MALE,2013,YES,YES,,,,,,,,,Died in Avengers_A.I._Vol_1_4. Returned in Avengers_A.I._Vol_1_9. 
Monica Chang,12,YES,FEMALE,2013,NO,,,,,,,,,,NA
,14,YES,MALE,2013,NO,,,,,,,,,,NA
Alexis,13,YES,FEMALE,2013,NO,,,,,,,,,,NA
Eric Brooks,198,YES,MALE,2013,NO,,,,,,,,,,NA
Adam Brashear,29,YES,MALE,2014,NO,,,,,,,,,,NA
Victor Alvarez,45,YES,MALE,2014,NO,,,,,,,,,,NA
Ava Ayala,49,YES,FEMALE,2014,NO,,,,,,,,,,NA
Kaluu,35,YES,MALE,2015,NO,,,,,,,,,,NA
